complete_date,num1
2021/7/11,4589
2021/7/12,4996
2021/7/13,5252
2021/7/14,5315
2021/7/15,5191
2021/7/16,5317
2021/7/17,6054
2021/7/18,5957
2021/7/19,5525
2021/7/20,5198
2021/7/21,5349
2021/7/22,5692
2021/7/23,6086
2021/7/24,5410
2021/7/25,5617
2021/7/26,4803
2021/7/27,4928
2021/7/28,5531
2021/7/29,5120
2021/7/30,5834
2021/7/31,5257
2021/8/1,5941
2021/8/2,5306
2021/8/3,4999
2021/8/4,5153
2021/8/5,5893
2021/8/6,5546
2021/8/7,5957
2021/8/8,6349
2021/8/9,6347
2021/8/10,5876
2021/8/11,5427
2021/8/12,5753
2021/8/13,5861
2021/8/14,5905
2021/8/15,5697
2021/8/16,4693
2021/8/17,5051
2021/8/18,5289
2021/8/19,6232
2021/8/20,5901
2021/8/21,5697
2021/8/22,5919
2021/8/23,5691
2021/8/24,5902
2021/8/25,5676
2021/8/26,6204
2021/8/27,5827
2021/8/28,5923
2021/8/29,5840
2021/8/30,5572
2021/8/31,5046
2021/9/1,4932
2021/9/2,4986
2021/9/3,4991
2021/9/4,6126
2021/9/5,6609
2021/9/6,6295
2021/9/7,5956
2021/9/8,5828
2021/9/9,6540
2021/9/10,6611
2021/9/11,6243
2021/9/12,5955
2021/9/13,5653
2021/9/14,5494
2021/9/15,5659
2021/9/16,5978
2021/9/17,6635
2021/9/18,6746
2021/9/19,6969
2021/9/20,7424
2021/9/21,6875
2021/9/22,4226
2021/9/23,5419
2021/9/24,6104
2021/9/25,6487
2021/9/26,6295
2021/9/27,6696
2021/9/28,6469
2021/9/29,6452
2021/9/30,6548
2021/10/1,6231
2021/10/2,5515
2021/10/3,4302
2021/10/4,4611
2021/10/5,4898
2021/10/6,5928
2021/10/7,5958
2021/10/8,5912
2021/10/9,5991
2021/10/10,6540
2021/10/11,6133
2021/10/12,5890
2021/10/13,6621
2021/10/14,6055
2021/10/15,6642
2021/10/16,6397
2021/10/17,6596
2021/10/18,6069
2021/10/19,6145
2021/10/20,6099
2021/10/21,6223
2021/10/22,5652
2021/10/23,5675
2021/10/24,6036
2021/10/25,5042
2021/10/26,5387
2021/10/27,6046
2021/10/28,6137
2021/10/29,6362
2021/10/30,6013
2021/10/31,6319
2021/11/1,5533
2021/11/2,5915
2021/11/3,6525
2021/11/4,6836
2021/11/5,6812
2021/11/6,7400
2021/11/7,8283
2021/11/8,6999
2021/11/9,7418
2021/11/10,7635
2021/11/11,8354
2021/11/12,8129
2021/11/13,8473
2021/11/14,8683
2021/11/15,7385
2021/11/16,7754
2021/11/17,8478
2021/11/18,8356
2021/11/19,8540
2021/11/20,7620
2021/11/21,7212
